run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
120,2,stir fry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3660.925000003772,0,1,1,[403]
121,3,chicken curry,main,bbc,BBC Food,ok,1,1,0,2196.4627999986988,0,0,0,[200]
122,3,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3636.562600004254,0,1,1,[403]
123,3,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4173.30920000677,0,1,1,[403]
124,3,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2393.7677000067197,0,0,0,[200]
125,3,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3609.6780999796465,0,1,1,[403]
126,3,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3709.4948000158183,0,1,1,[403]
127,3,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,1862.9610999778379,0,0,0,[200]
128,3,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,5738.677399989683,0,1,1,[403]
129,3,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3574.996600014856,0,1,1,[403]
130,3,beef stew,main,bbc,BBC Food,ok,1,1,0,2797.100199997658,0,0,0,[200]
131,3,beef stew,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4263.474800012773,0,1,1,[403]
132,3,beef stew,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3283.0433000053745,0,1,1,[403]
133,3,mushroom soup,main,bbc,BBC Food,ok,1,1,0,2161.990300024627,0,0,0,[200]
134,3,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3980.093099991791,0,1,1,[403]
135,3,mushroom soup,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3490.571100002853,0,1,1,[403]
136,3,salmon,main,bbc,BBC Food,ok,1,1,0,3029.979499988258,0,0,0,[200]
137,3,salmon,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4552.543699974194,0,1,1,[403]
138,3,salmon,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3174.7428000089712,0,1,1,[403]
139,3,lentil dal,main,bbc,BBC Food,ok,1,1,0,2317.204799997853,0,0,0,[200]
140,3,lentil dal,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4910.592500003986,0,1,1,[403]
141,3,lentil dal,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3500.6565999938175,0,1,1,[403]
142,3,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2398.2178999867756,0,0,0,[200]
143,3,apple pie,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3471.492299984675,0,1,1,[403]
144,3,apple pie,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3336.696699989261,0,1,1,[403]
145,3,lasagne,main,bbc,BBC Food,ok,1,1,0,2767.5814000249375,0,0,0,[200]
146,3,lasagne,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,6344.364199991105,0,1,1,[403]
147,3,lasagne,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5678.455700021004,0,1,1,[403]
148,3,thai curry,main,bbc,BBC Food,ok,1,1,0,2053.5784999956377,0,0,0,[200]
149,3,thai curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4092.0597999938764,0,1,1,[403]
150,3,thai curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,4046.6751999920234,0,1,1,[403]
151,3,brownies,dessert,bbc,BBC Food,ok,1,1,0,3684.1096999996807,0,0,0,[200]
152,3,brownies,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3875.280600012047,0,1,1,[403]
153,3,brownies,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3221.1809000000358,0,1,1,[403]
154,3,risotto,main,bbc,BBC Food,ok,1,1,0,2191.0844999947585,0,0,0,[200]
155,3,risotto,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3545.9125000052154,0,1,1,[403]
156,3,risotto,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3099.3023999908473,0,1,1,[403]
157,3,vegan burger,main,bbc,BBC Food,ok,1,1,0,2842.0218999963254,0,0,0,[200]
158,3,vegan burger,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3356.0351000051014,0,1,1,[403]
159,3,vegan burger,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3817.0656000147574,0,1,1,[403]
160,3,banana bread,dessert,bbc,BBC Food,ok,1,1,0,2298.2080999936443,0,0,0,[200]
161,3,banana bread,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,4079.058300005272,0,1,1,[403]
162,3,banana bread,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,4238.77209998318,0,1,1,[403]
163,3,roast chicken,main,bbc,BBC Food,ok,1,1,0,2743.4083000116516,0,0,0,[200]
164,3,roast chicken,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3414.2198000045028,0,1,1,[403]
165,3,roast chicken,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3526.289200002793,0,1,1,[403]
166,3,tacos,main,bbc,BBC Food,ok,1,1,0,2998.11139999656,0,0,0,[200]
167,3,tacos,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3802.118799998425,0,1,1,[403]
168,3,tacos,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3750.59319997672,0,1,1,[403]
169,3,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,2327.6207000017166,0,0,0,[200]
170,3,pancakes,breakfast,simply,Simply Recipes,temporarily_unavailable,0,0,1,4498.62359999679,0,1,1,[403]
171,3,pancakes,breakfast,serious,Serious Eats,temporarily_unavailable,0,0,1,3860.9568999963813,0,1,1,[403]
172,3,omelette,breakfast,bbc,BBC Food,ok,1,1,0,2590.8414000004996,0,0,0,[200]
