,False_Positive_Rate,True_Positive_Rate,Thresholds
126,0.04417448923246825,0.43357933579335795,0.5713177
127,0.046935394809497516,0.43357933579335795,0.56838334
128,0.046935394809497516,0.4354243542435424,0.56769204
129,0.047487575924903366,0.4354243542435424,0.5668025
130,0.047487575924903366,0.43911439114391143,0.5643538
131,0.048039757040309224,0.43911439114391143,0.5640223
132,0.048039757040309224,0.4446494464944649,0.5616729
133,0.049144119271120924,0.4446494464944649,0.5603021
134,0.049144119271120924,0.4483394833948339,0.5576483
135,0.05024848150193263,0.4483394833948339,0.55723226
136,0.05024848150193263,0.45018450184501846,0.5571958
137,0.05080066261733849,0.45018450184501846,0.5569581
138,0.05080066261733849,0.45202952029520294,0.5568595
139,0.05135284373274434,0.45202952029520294,0.55601346
140,0.05135284373274434,0.4612546125461255,0.5538728
141,0.05190502484815019,0.4612546125461255,0.55350506
142,0.05190502484815019,0.466789667896679,0.547628
143,0.0530093870789619,0.466789667896679,0.54753804
144,0.0530093870789619,0.46863468634686345,0.5460346
145,0.054665930425179456,0.46863468634686345,0.5430257
146,0.054665930425179456,0.470479704797048,0.54228723
147,0.05521811154058531,0.470479704797048,0.54184544
148,0.05521811154058531,0.47232472324723246,0.54159784
149,0.05577029265599116,0.47232472324723246,0.5405216
150,0.05577029265599116,0.477859778597786,0.5390265
151,0.05742683600220872,0.477859778597786,0.53775746
152,0.05742683600220872,0.48154981549815495,0.5346067
153,0.05797901711761458,0.48154981549815495,0.53319895
154,0.05797901711761458,0.4870848708487085,0.5327568
155,0.05853119823302043,0.4870848708487085,0.53146684
156,0.05853119823302043,0.488929889298893,0.5314578
157,0.05963556046383214,0.488929889298893,0.5285444
158,0.05963556046383214,0.492619926199262,0.52796733
159,0.0623964660408614,0.492619926199262,0.52610606
160,0.0623964660408614,0.4944649446494465,0.5254401
161,0.06294864715626726,0.4944649446494465,0.5251465
162,0.06294864715626726,0.496309963099631,0.5240625
163,0.06350082827167311,0.496309963099631,0.52277374
164,0.06350082827167311,0.5,0.5220632
165,0.06405300938707896,0.5,0.52162063
166,0.06405300938707896,0.5055350553505535,0.51873916
167,0.06460519050248481,0.5055350553505535,0.5173102
168,0.06460519050248481,0.507380073800738,0.5163132
169,0.06515737161789067,0.507380073800738,0.51543283
170,0.06515737161789067,0.511070110701107,0.5150124
171,0.06570955273329653,0.511070110701107,0.51466894
172,0.06570955273329653,0.514760147601476,0.5138284
173,0.06681391496410823,0.514760147601476,0.5132569
174,0.06681391496410823,0.5166051660516605,0.5121236
175,0.06736609607951408,0.5166051660516605,0.5104662
176,0.06736609607951408,0.5295202952029521,0.5047665
177,0.06791827719491994,0.5295202952029521,0.50373673
178,0.06791827719491994,0.5313653136531366,0.5036739
179,0.06847045831032579,0.5313653136531366,0.5033873
180,0.06847045831032579,0.533210332103321,0.5033652
181,0.07012700165654334,0.533210332103321,0.5015663
182,0.07012700165654334,0.540590405904059,0.5006511
183,0.07123136388735506,0.540590405904059,0.49831447
184,0.07123136388735506,0.5461254612546126,0.49719816
185,0.07288790723357261,0.5461254612546126,0.48968452
186,0.07288790723357261,0.5479704797047971,0.48855138
187,0.07344008834897847,0.5479704797047971,0.48742682
188,0.07344008834897847,0.5535055350553506,0.48552892
189,0.07564881281060187,0.5535055350553506,0.48150167
190,0.07564881281060187,0.5571955719557196,0.47959143
191,0.07620099392600774,0.5571955719557196,0.47957093
192,0.07620099392600774,0.5645756457564576,0.47849897
193,0.07785753727222529,0.5645756457564576,0.4751819
194,0.07785753727222529,0.566420664206642,0.47259587
195,0.078961899503037,0.566420664206642,0.4705446
196,0.078961899503037,0.5682656826568265,0.47053993
197,0.07951408061844285,0.5682656826568265,0.4697857
198,0.07951408061844285,0.5738007380073801,0.46726593
199,0.0800662617338487,0.5738007380073801,0.46670467
200,0.0800662617338487,0.577490774907749,0.46255028
201,0.08061844284925455,0.577490774907749,0.461921
202,0.08061844284925455,0.5811808118081181,0.46067053
203,0.08172280508006627,0.5811808118081181,0.46021792
204,0.08172280508006627,0.5830258302583026,0.4599829
205,0.08282716731087797,0.5830258302583026,0.45948043
206,0.08282716731087797,0.584870848708487,0.45830905
207,0.08337934842628382,0.584870848708487,0.4575126
208,0.08337934842628382,0.5867158671586716,0.45688903
209,0.08393152954168967,0.5867158671586716,0.45650744
210,0.08393152954168967,0.5885608856088561,0.45606628
211,0.08558807288790723,0.5885608856088561,0.4544673
212,0.08558807288790723,0.5904059040590406,0.4528729
213,0.08779679734953065,0.5904059040590406,0.45145792
214,0.08779679734953065,0.5922509225092251,0.4512271
215,0.08890115958034235,0.5922509225092251,0.45007202
216,0.08890115958034235,0.5996309963099631,0.44762996
