feature_set,architecture,learning_rate,cv_f1_mean,cv_f1_std,cv_f1_scores,n_features
only_numerical,"(30, 20)",0.0001,0.3182672573132164,0.0879675933836855,"[0.4218958343815486, 0.21052627275828367, 0.34146338141517363, 0.3971118555394229, 0.22033894247165337]",6
only_numerical,"(30, 20)",0.001,0.2243683847591594,0.037759962825218076,"[0.21153843482473275, 0.17064844375482152, 0.20598004225966593, 0.2586750448537443, 0.27499995810283256]",6
only_numerical,"(30, 20)",0.01,0.25597919024454757,0.043878107757254224,"[0.3255813592380501, 0.1868511927435204, 0.2554516775167097, 0.25477703167103943, 0.2572346900534184]",6
only_numerical,"(50, 30)",0.0001,0.2957090547413862,0.08796846612967973,"[0.24600634106654595, 0.252830145436498, 0.204275486826159, 0.32029112840941804, 0.45514217196831014]",6
only_numerical,"(50, 30)",0.001,0.28325342715997676,0.033946378774821845,"[0.3418803107584378, 0.24203817870135638, 0.2760735811062078, 0.2619807998046066, 0.2942942654292751]",6
only_numerical,"(50, 30)",0.01,0.3043939309307768,0.043545253777072294,"[0.35967299074372033, 0.3109755732431471, 0.2307691937613569, 0.33139531136570594, 0.28915658553995377]",6
only_numerical,"(100, 50)",0.0001,0.296923773056974,0.1259391502314765,"[0.3085299016275547, 0.267631052277669, 0.18338104189035995, 0.5310733905201919, 0.1940034789690944]",6
only_numerical,"(100, 50)",0.001,0.36489225235062495,0.02853762383448271,"[0.3999999548112764, 0.3343108057401229, 0.3304842998609825, 0.36813183727322674, 0.39153436406751624]",6
only_numerical,"(100, 50)",0.01,0.35283009258195147,0.04839613967238667,"[0.40198506358993513, 0.3553008252224623, 0.3030302731973695, 0.29357793960531703, 0.4102563612946732]",6
only_numerical,"(100, 80, 50)",0.0001,0.3338605345026756,0.16040238037854504,"[0.38550720666807115, 0.44396547234143435, 0.5224171118295913, 0.06666665008213782, 0.2507462315921436]",6
only_numerical,"(100, 80, 50)",0.001,0.3097090092535903,0.054565295059496685,"[0.4031413116485567, 0.3372092700163945, 0.2769230426199204, 0.2804877614275498, 0.25078366055553]",6
only_numerical,"(100, 80, 50)",0.01,0.31886420633335827,0.028484052858496405,"[0.3678756179971974, 0.2972135753887556, 0.31325298336770935, 0.32941173578500843, 0.28656711912812044]",6
only_numerical,"(150, 100, 50)",0.0001,0.3057087220373161,0.14697796113275174,"[0.477669851824794, 0.1418918610507652, 0.4866070792612494, 0.23369561107353068, 0.18867920697624105]",6
only_numerical,"(150, 100, 50)",0.001,0.2814823754895347,0.10418385471250377,"[0.10638296073850521, 0.34710740276479646, 0.2570532583916201, 0.2786377359211807, 0.41823051963157093]",6
only_numerical,"(150, 100, 50)",0.01,0.34229754404585166,0.02988815597074619,"[0.36842101720388765, 0.34782605296246627, 0.30538918650052993, 0.3794037499793154, 0.31044771358305934]",6
